
Alarm: aai1, Tag: ai1, Value: 6.69130606358858, Time: 16-Feb-21 00:43:14
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:43:19
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:43:24
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:43:29
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:43:34
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:43:39
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:43:44
Alarm: aai1, Tag: ai1, Value: 5.44639035015027, Time: 16-Feb-21 00:43:49
Alarm: aai1-3, Tag: ai1, Value: 1, Time: 16-Feb-21 00:43:59
Alarm: aai1-3, Tag: ai1, Value: 2.58819045102521, Time: 16-Feb-21 00:49:07
Alarm: aai1, Tag: ai1, Value: 5.87785252292473, Time: 16-Feb-21 00:49:12
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:49:17
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:49:22
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:49:27
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:49:32
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:49:37
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:49:42
Alarm: aai1, Tag: ai1, Value: 6.29320391049837, Time: 16-Feb-21 00:49:47
Alarm: aai1-3, Tag: ai1, Value: 1.56434465040231, Time: 16-Feb-21 00:49:57
Alarm: aai1-3, Tag: ai1, Value: 1.04528463267653, Time: 16-Feb-21 00:50:02
Alarm: aai1, Tag: ai1, Value: 5.87785252292473, Time: 16-Feb-21 00:50:12
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:50:17
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:50:22
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:50:27
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:50:32
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:50:37
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:50:42
Alarm: aai1, Tag: ai1, Value: 6.29320391049837, Time: 16-Feb-21 00:50:47
Alarm: aai1-3, Tag: ai1, Value: 1.04528463267654, Time: 16-Feb-21 00:50:58
Alarm: aai1, Tag: ai1, Value: 6.69130606358858, Time: 16-Feb-21 01:15:16
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 01:15:21
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 01:15:26
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 01:15:31
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 01:15:36
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 01:15:41
Alarm: aai1, Tag: ai1, Value: 6.29320391049837, Time: 16-Feb-21 01:15:47
Alarm: aai1-3, Tag: ai1, Value: 1.56434465040231, Time: 16-Feb-21 01:15:57
Alarm: aai1-3, Tag: ai1, Value: 1.04528463267653, Time: 16-Feb-21 01:16:02
Alarm: aai1, Tag: ai1, Value: 5.87785252292473, Time: 16-Feb-21 01:16:12
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 01:16:17
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 01:16:22
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 01:16:27
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 01:16:32
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 01:16:37
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 01:16:42
Alarm: aai1, Tag: ai1, Value: 6.29320391049837, Time: 16-Feb-21 01:16:47
Alarm: aai1-3, Tag: ai1, Value: 1.56434465040231, Time: 16-Feb-21 01:16:57
Alarm: aai1-3, Tag: ai1, Value: 1.04528463267653, Time: 16-Feb-21 01:17:02
Alarm: aai1, Tag: ai1, Value: 5.87785252292473, Time: 16-Feb-21 01:17:12
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 01:17:17
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 01:17:22
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 01:17:27
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 01:17:32
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 01:17:37
